material_number|material_name|material_group
1001781|MEDIA,CELDEK,4X12X48|9XA
1013954|FLEXTRAY,CABLE,B-LINE,1.5X12X10FT,GALV|9XA
1013965|NIP, MNPT, 0.25X6, PVC, SCH80|9XA
1001784|MEDIA,CELDEK,6X12X36|9XA
464542|FL,PLTD,MINI,12X24X4,MERV 14,PLFR,BOX|9XA
1013592|COMP,SCREW,CSH8583-125Y-4PU,460V/3/60|9XA
1013586|COMP,SCREW,CSH8563-90Y-4PU,460V/3/60|9XA
1013937|CABLE,18/4C,SHLD,300V,75C,WHT,G111804|9XA
310579|MTR,405T,BA,EM4400T-5|9XA
310599|MTR,326TS,BA,EM4114T-5|9XA
473360|CPLG,2.125IN/1.625IN RED,GRAINGER #1VLJ8|9XA
345440|BELT,B37,WRAPPED|9XA
351964|BSHG,SH X 1.187|9XA
10127|SMP,ELEC BK PNL 1|9XA
2016183-MV|VCD-23-44.875x39.875|60CA
1013958|FLEXTRAY,ROLLER,CABLE|9XA
1016129|FAN_MATVAR_1|9XA
2005341-MV|VCD-33V-24.875x35.875|60CA
2005340-MV|VCD-33-14.875x63.875|60CA
2005351-MV|XQEI-12-II-50-G|50GA
1011752|SNSR,CURRENT,4-20MA,A/CTA-50|9XA
GCI-202|GRAVITY COMBINATION INTAKE LOUVER|61EA
2012484-MV|27-APH-4-100-III-250|50CB
2012516-MV|VCD-43-104.313x57.1|60CA
2011235-MV|VCD-43-48.875x14.875|60CA
1003214|SLIP,1INX10FT|9XA
1002342|MTR,213T,BA,ECP3764T-5|9XA
1002387|BRKR,MTR CRCT,SQD-GV3P18|9XA
1002432|CONTACTOR,40A,120V,3P,SQD LC1D40AG7|9XA
1002421|BRKR,35A,240V,1P,UL1077,SQD MG17428|9XA
1002473|SW,DISCON,200A,600V,3P,SQD GS1MU3|9XA
1002538|ENCL,42X37X16,NEMA3R-4X-OIL,SS316FLGD|9XA
1002478|SW,DISCON,800A,600V,3P,SQD GS1TU3|9XA
1002596|ENCL,16X14X8,NEMA4&13,STEEL|9XA
1002855|FUSE,8A,600V,CLASS CC,TIME DELAY|9XA
1002903|HEATER,400W,26CFM,115V,SCE HF4001A|9XA
1002907|HTR,800 W 110 V ,RITTAL 3105230|9XA
1003107|DISTBLK,PWR,175A,3P,ABB 35621021|9XA
1003090|TRNSMTR,DIFPRES,DWYER,MSX-W21-IN-LCD|9XA
1003136|CNTRL,REMOTE USER,RUT,TRANE,4950-0468|9XA
1003228|SEAL,VULKEM 116|9XA
1003159|TUBE,SQ,1X1,.065 WALL,CRS,A513|9XA
1015417|FUSE,6A,600V,CLASS J,FAST ACTING|9XA
10115187|CREATED IN ERROR|9XA
1011751|MS,PPH,#8-32X2.5,ZP|9XA
1010882|HOLE SAW,BI-METAL,SAW DIA 2-1/4 IN|NP065
2003498-MV|ICD-45-77.875x47.875|60BG
1010523|HOLE SAW,BI-METAL,SAW DIA 1-1/4 IN|NP065
2008876-MV|VCD-43-15.875x50.875|60CA
2008889-MV|EM-30-33.02X33.02|60BA
2008892-MV|VCD-23-8.875x29.875|60CA
823990|BRKT-BRG ASM/GGD ACT W/1 BRG|9XA
1013756|GASHOSE,TWIN,GRADE T,.25X25FT,BB FITTING|NP068
1011950|FLG,FNPT,4,AL|9XA
1007156|FL,RACK,20X20X3,SS|9XA
1007159|FL,RACK,24X24X3,SS|9XA
1007166|SMP,36X56 HORZ SKID|9XA
1007172|SMP,PLT,24X24 ELEC BK .109GALV|9XA
1007173|SMP,PLT,24X30 ELEC BK .109GALV|9XA
1007178|SMP,PLT,36X42 ELEC BK .109GALV|9XA
1007153|FL,RACK,16X25X3,AL STL|9XA
1002165|RECEIVER,WESTERMEYER,RH1048-INH|9XA
2013445-MV|20-APM-4-75-I-75|50BG
2013461-MV|AMD-42-15.75x73.75|60CA
2013025-MV|DX516L05S12-60X93-LHN|41AA
1011773|UPLOAD,NEST C FOAM|9XA
1012763|VLV,SOLEND,ME43S1130-HP|9XA
1000955|CL_DX_CONFIG|9XA
1002049|COMP,ZPT364KCE-TEE-276,575V|9XA
2011654-MV|ICD-45-75.875x31.875|60BG
2011658-MV|EM-30-28.378X28.378|60BA
1016625|TAPE,MASKING,48MMX55M,6.3MIL,YELLOW|9XA
2003117-MV|VCD-23-104.875x22.875|60CA
2003138-MV|XQEI-15-II-100-G|50GA
2003141-MV|LV,1.50,NAR PROF,J BL|61AA
1012525|CL,FINSTK,.0075X19.75,AL,1100-H14|9XA
1040052|CPLG,SOCK,0.5,CPVC,SCH80,UL94|9XA
1011830|CL_REFRIG_CONFIG_COIL3|9XA
2011251-MV|VCD-43-46.875x18.875|60CA
1009500|CVR,LTHR CBL,TL581V|NP068
1013615|PIPE,0.25,BLK,STL,SCH 80|9XA
2011231-MV|VCD-43-37.875x15.875|60CA
MP16017|BUTTON,TOOLING,WILA,39MM H|NP139
2011171-MV|VCD-43-62.75x45.75|60CA
415576|NUT,HSF,.313-18,SS,18-8|9XA
1009439|GAGE,COVER,2.0DIA|NP068
1016114|CL_MATVAR_6|9XA
1016150|CNDNSRFN,ZA,FN071,ART#154353,460V|9XA
1022537|SUBASSM, ELECTRICAL|9XA
2011464-MV|VCD-23-39.875x15.875|60CA
2011466-MV|VCD-23-17.875x29.875|60CA
30-D-1950|HEAT EXCH,30-D-1950|40AB
30-D-2550|HEAT EXCH,30-D-2550|40AB
2011201-MV|VCD-23-24.75x14.75|60CA
2011202-MV|VCD-23-8.125x29.25|60CA
2011203-MV|VCD-23-39x29|60CA
PC|PC|40AA
1032846|SUBASSM, FRAMING DOOR25|9XA
2011496-MV|VCD-23-111.875x33.875|60CA
2011497-MV|VCD-23-18.404x18.404|60CA
ES-12|EXTRD AL BKDRFT DMPR|60BA
PRAD-10-12X12|ACS DOOR,POSITIVE PRES RELS,12X12|60JA
2015986-MV|EM-30-29.15X29.15|60BA
2007676-MV|VCD-33-52.75x12.75|60CA
1010801|CPLG,1.5,COMPRES,EMT,ZINC|9XA
2011887-MV|ICD-45-75.875x31.875|60BG
1015496|"BLKHD,FNPT,0.75,PLYPR,2"" WALL"|9XA
100-C-1650|HEAT EXCH,100-C-1650|40AB
100-C-1800|HEAT EXCH,100-C-1800|40AB
100-C-1950|HEAT EXCH,100-C-1950|40AB
100-C-2100|HEAT EXCH,100-C-2100|40AB
100-C-2250|HEAT EXCH,100-C-2250|40AB
100-C-2400|HEAT EXCH,100-C-2400|40AB
100-C-2550|HEAT EXCH,100-C-2550|40AB
1011795|BSHG,SPIGXSOCK,1.5X0.75,PVC,HEX,SCH40|9XA
1011806|VLV,BALL,2,5AAT4|9XA
1002640|ENCL,36X24X16,NEMA 4,12,13,STEEL|9XA
388005|VFD,ACS180-04S-03A7-2, 230/3,3.5A ABB|9XA
388008|VFD,ACH180-04S-07A8-2, 230/3,7.4A ABB|9XA
388027|VFD,ACH180-04S-038A-4, 460/3,36A ABB|9XA
2012254-MV|VCD-43-59.063x47.875|60CA
1003369|LBL,MRKR,VOLTS,220,2.25X9,ORNG/BLK|9XA
1003373|LBL,MRKR,VOLTS,240,1.125X4.125,ORNG/BLK|9XA
MP11805|SET,CONTACT|NP139
100476|CREATED IN ERROR - CAN BE REUSED|9XA
1013352|WIRE,THHN,4GA,90DEG,600V,RED|9XA
1016063|VFD,ACH550-UH-017A-2,230V,5HP,16.7A|9XA
1016091|VFD,ACS150-03U-04A7-2,230V,1HP,4.7A|9XA
1016149|CNDNSRFN,ZA,FN071,ART#154355,208/230V|9XA
326908|MTR,256T.BA 39-A000-0023|9XA
1007000|GRATE,WALK ON,36X288,HRS,3/4X3/16, 19W4|9XA
1007040|BOX,12CU IN SPIDER W/1/2IN KOS|9XA
384020|VFD,CIMR-VU2A0012FAA,208/230V,3HP,12A|9XA
384350|CNTRL,CONN,SCR,PCO,CAREL,PCOECON000|9XA
2005937-MV|AMD-33-13.75x15.75|60CA
2012263-MV|VCD-43-20.875x47.875|60CA
1011845|COIL,SOLEND,24V,018F7358|9XA
2011169-MV|6IN EXTRUDED ALUMINUM LOUVER|61BA
1012952|BLWR,ZA,GR56C,10HP,TEFC,400/50|9XA
1014570|FUSEHLDR,400A,CLJ,3P,LTFS-LFJ60400-3C|9XA
417149|TRS,HWH,.25-20X1,ZP/WAX,TRI-LOBE|9XA
MP23815|TRANSMITTER, LAZERSAFE, LZS-R|NP139
387382|VFD,ACS320-03U-12A5-4,460V,7.5HP,12.5A|9XA
1006889|CORR HX BTM|9XA
1002433|CONTACTOR,50A,120V,3P,SQD LC1D50AG7|9XA
2012237-MV|VCD-23-57.875x6.875|60CA
1016051|VFD,ACH550-UH-031A-4,460V,20HP,31A|9XA
1012967|TEE,SOCK,2.5,PVC,SCH40|9XA
1016062|VFD,ACH550-UH-012A-2,230V,3HP,11.8A|9XA
2012485-MV|EM-30-62.625X54.625|60BA
2012503-MV|EM-30-28.625X43.625|60BA
2012508-MV|VCD-43-54.063x41.875|60CA
2012249-MV|VCD-43-60.875x59.875|60CA
MP12341|CYL,PENCIL,1.5X.5|NP139
1013643|SW,TRNSFR,160A,3P,400V/50HZ,ASCO|9XA
101255|CREATED IN ERROR - CAN BE REUSED|9XA
1012505|TEE,MPTXMPTXSTUB,2,PVC,SCH40|9XA
1010408|FL,PLTD,12X20X2,MERV 8,HC,SSP,UL900|9XA
1009279|GLOVE,LEATHER TIG,4IN CUFF,PR,SIZE M|NP023
ERS-030|ERS-030|40AA
FREIGHT_EST|FREIGHT ESTIMATION|9XA
1010822|VFD,ACS150-03U-03A3-4,460V,1.5HP,3.3A|9XA
2004949-MV|VCD-23-19.875x29.875|60CA
1001363|TERM,RING,.25IN,16-14AWG,INSUL,BLUE|9XA
1001398|CABLE,SHLD,12,GRN|9XA
1001400|WIRE,THHN,10GA,90DEG,600V,BLUE|9XA
1001409|WIRE,THHN,14GA,90DEG,600V,BLUE|9XA
1001439|ELBOW,1.5IN 45 DEG|9XA
1001445|FL,PLTD,20X24X4,MERV 8,HC,WB|9XA
1001460|FL,PLTD,MINI,20X24X4,MERV 11,PLFR,BOX|9XA
1009150|TORCH,TIP,0.035IN DIA,SHORT|NP068
1001558|FL,SYN,12X24X12,MERV 11,BAG,UL900|9XA
1001744|VFD,CIMR-AU5A0011FAA,575,10HP,11A|9XA
1001860|COMP,HRH049U3LP6 (120U1461),208/230V|9XA
1012462|BLWR,ZA,ER45C,3HP,TEFC,CTD,54000560|9XA
2010757-MV|VCD-23-88.625x53.875|60CA
2010766-MV|VCD-23-64.625x53.875|60CA
1032126|SMP,DOOR SPACER41|9XA
1032131|SMP,DOOR SPACER46|9XA
1032179|SMP,DOOR SPACER94|9XA
1032181|SMP,DOOR SPACER96|9XA
1032242|SMP,DOOR SPACER157|9XA
1032149|SMP,DOOR SPACER64|9XA
2013039-MV|HW58C02H08-36X29-RHN|41AA
1001615|FL,SYN,12X24X30,MERV 11,BAG,UL900|9XA
1001620|FL,SYN,20X20X30,MERV 13,BAG,UL900|9XA
1011826|BRKT,HNGR,ADJ SWVL RNG,2,EPOXY PLTD|9XA
1011836|CL_REFRIG_CONFIG_COIL9|9XA
1007161|FL,RACK,16X25X3,SS|9XA
1007149|FL,RACK,24X24X3,AL STL|9XA
1007213|HT EX,ENTHALPIC PLT,592MMX550MM,CONFIG|9XA
1007633|SNSR,TEMP,EXP PROOF,KELE ST-X3|9XA
1007721|REACTOR,LINE,4.2MH,12A,OPEN,RL-01203|9XA
1007732|INSUL,PIPE,ELSTM,BLK,1X2.125,R6.8|9XA
1007744|SNSR,TEMP,ROOM,RH5-10K-E1-R|9XA
1008233|SUBPNL,FLAT,6X4X.08,SCE-8N6MP|9XA
1011829|CL_REFRIG_CONFIG_COIL2|9XA
2012313-MV|VCD-43-53.875x94.875|60CA
2012173-MV|VCD-43-13.75x99.75|60CA
1010044|TORCH,NOZZLE,TIG,ALUMINA,#7SZ,WP20|NP068
1011802|ADPTR,SOCKXMNPT,1.5,PVC,SCH40|9XA
2012151-MV|ICD-44-47.875x47.875|60BG
2005331-MV|6IN EXTRUDED ALUMINUM LOUVER|61BA
2005370-MV|24-APM-4-100-I-50|50BG
2005411-MV|24-APM-4-90-II-150|50BG
2012203-MV|24-APM-4-100-II-100|50BG
2012204-MV|VCD-43-92.375x28.875|60CA
2011406-MV|EM-30-25.625X44.625|60BA
1011844|VLV,SOLEND,0.75,8980909|9XA
305020|MTR,30B,YE,BA213T,M7036T|9XA
308215|MTR,56,WEG,GF-0.75180S3E56|9XA
311128|MTR,184T,BA,EM7041T|9XA
307986|MTR,256T,BA,EM7056T|9XA
364615|VFD, CIMR-ZU4A0027FAA, 460/3, 27A|9XA
350653|SHEAVE,1VP65 X 1.125,BROWNING|9XA
381078|H-BOX,4X2.125X2.125,GALV|9XA
381152|ACT,BELIMO,AFB24-S|9XA
2015287-MV|VCD-43-21.875x54.875|60CA
2006741-MV|EM-30-46.625X58.625|60BA
2002245-MV|LV,1.50,NAR PROF,J BL|61AA
2002803-MV|18-APH-4-75-III-150|50CA
2002554-MV|27-APM-4-100-II-200|50BG
2003974-MV|VCD-33-23.875x63.875|60CA
2006272-MV|AMD-23-40x17|60CA
2006463-MV|DX38S04S13-45X46-RHN|41AA
2003938-MV|VCD-42-92.75x9.75|60CA
2003926-MV|18-APM-4-100-II-75|50BG
2001562-MV|20-APM-4-100-II-150|50BG
2001479-MV|AMD-23-12.75x13.75|60CA
2001797-MV|VCD-23-29.688x29.688|60CA
2001798-MV|VCD-23-29.688x29.688|60CA
2002876-MV|VCD-43-59.875x19.875|60CA
2004634-MV|DX38S04S12-48X50-RHN|41AA
2003114-MV|24-APH-4-100-II-150|50CA
2003115-MV|24-APH-4-100-II-150|50CA
2003119-MV|VCD-23-100.438x53.875|60CA
2003124-MV|VCD-33-9.875x79.875|60CA
2003130-MV|22-APH-4-95-II-200|50CA
2001563-MV|20-APM-4-100-II-150|50BG
2001568-MV|VCD-23-31.875x26.875|60CA
2002502-MV|VCD-43-37.5x37.2|60CA
2004527-MV|VCD-23-20.875x37.4|60CA
2004529-MV|EM-30-20.375X20.375|60BA
2004606-MV|FBH-23-77.875x59.875|60CA
2004614-MV|VCD-23-99.875x15.875|60CA
2004621-MV|ICD-45-11.875x23.875|60BG
2003972-MV|VCD-42-82.75x6|60CA
2003973-MV|VCD-33-20.875x63.875|60CA
2004967-MV|EM-10-47.875X28.875|60BA
2004968-MV|VCD-42-47.875x23.875|60CA
2005968-MV|VCD-43-37.75x57.875|60CA
2005955-MV|VCD-23-35.438x47.875|60CA
2011656-MV|EM-30-28.378X28.378|60BA
2004112-MV|ICD-45-49.875x28.875|60BG
2004102-MV|VCD-43-15x41.875|60CA
2004104-MV|VCD-43-85.75x10.75|60CA
2014936-MV|EM-30-59.375X54.625|60BA
2014938-MV|22-APM-4-85-II-150|50BG
2001951-MV|VCD-23-51.875x23.875|60CA
2003969-MV|VCD-42-16.875x33.875|60CA
2007970-MV|VCD-23-75.875x60.875|60CA
2015266-MV|22-APM-4-100-I-100|50BG
2007314-MV|VCD-23-57.975x28.875|60CA
2007311-MV|VCD-23-29.875x23.875|60CA
2006746-MV|VCD-23-82.688x57.875|60CA
2006745-MV|VCD-23-25.188x57.875|60CA
2004350-MV|VCD-23-44.875x54.125|60CA
2006157-MV|EM-30-35.8X35.8|60BA
2006156-MV|27-APM-4-90-II-150|50BG
2002683-MV|15-APM-4-85-I-15|50BG
2003971-MV|VCD-42-12.875x41.875|60CA
2003970-MV|AMD-42-25.75x26.75|60CA
2015273-MV|ICD-45-47.875x12.875|60BG
2015267-MV|VCD-43-66.875x14.875|60CA
2001342-MV|EM-10-35.875X21.875|60BA
2014994-MV|VCD-23-75.875x23.875|60CA
1001468|FL,PLTD,MINI,20X25X4,MERV 14,PLFR,BOX|9XA
1001456|FL,PLTD,MINI,12X24X4,MERV 11,PLFR,BOX|9XA
2005966-MV|EM-30-64.625X58.625|60BA
2002501-MV|VCD-42-47.25x39.875|60CA
1022259|SNSR,TEMP,24FT,MAMAC,IN-707-A-8-C-1|9XA
2001498-MV|VCD-23-29.688x29.688|60CA
2001825-MV|VCD-23-39.875x43|60CA
2002341-MV|VCD-43-27.875x8|60CA
2002377-MV|ICD-44-60.875x79.875|60BG
2004343-MV|VCD-43-30.875x48.875|60CA
2002693-MV|VCD-23-26x41.875|60CA
2003356-MV|CW58S02S12-27X22-RHE|41AA
2002552-MV|VCD-43-26.719x45.2|60CA
2014915-MV|VCD-23-17.75x82.75|60CA
1022776|SMP, FAN LOC1 APD PART6|9XA
1022779|SMP, FAN LOC1 APD PART9|9XA
1022784|SMP, FAN LOC1 RAIL4|9XA
1022785|SMP, FAN LOC1 DROPRAIL1|9XA
2002757-MV|VCD-23-15x59.875|60CA
2015270-MV|VCD-43-21.625x50|60CA
2015272-MV|ICD-45-29.875x17.875|60BG
2015285-MV|AMD-42-79.75x16.75|60CA
2015286-MV|VCD-43-79.75x9.75|60CA
2014990-MV|VCD-23-21.875x56.875|60CA
1001472|FL,PLTD,MINI,16X25X6,MERV 11,PLFR,BOX|9XA
2014968-MV|VCD-43-78.875x22.875|60CA
2002404-MV|ICD-44-47.875x79.875|60BG
2015291-MV|20-APM-4-100-II-100|50BG
2005962-MV|EM-30-19.625X36.625|60BA
2015060-MV|VCD-23-79.875x11.875|60CA
2015065-MV|VCD-23-43.875x27.875|60CA
2010748-MV|22-APM-4-100-II-150|50BG
2006001-MV|VCD-43-18.75x98.75|60CA
2006225-MV|VCD-23-64.75x10.75|60CA
2006345-MV|VCD-33-50.875x51.875|60CA
2006365-MV|EM-30-29.716X29.716|60BA
2006495-MV|CNTRL DMPR|60CA
2006933-MV|VCD-23-67.75x43.75|60CA
2002579-MV|24-APM-4-100-I-75|50BG
2002591-MV|VCD-33-59.875x25.875|60CA
2002592-MV|VCD-33-13.75x76.75|60CA
2002599-MV|VCD-33-13.75x76.75|60CA
2002600-MV|22-APH-4-95-II-200|50CA
2015648-MV|VCD-23-24.875x41.875|60CA
2015678-MV|VCD-43-53.875x17.5|60CB
2014996-MV|VCD-23-40x41.875|60CA
2002601-MV|CW58S06F08-22.5X22-RHN|41AA
2006971-MV|VCD-23-88.75x10.75|60CA
2015350-MV|VCD-43-34.875x40.875|60CA
2005952-MV|VCD-23-43.875x16.875|60CA
2003950-MV|VCD-42-92.75x9.75|60CA
2006938-MV|VCD-23-21.75x47.75|60CA
2006940-MV|24-APM-4-100-II-100|50BG
2007338-MV|VCD-42-49.875x14.625|60CA
2007980-MV|SD58S02D06-75X34-RHN|41AA
2008151-MV|VCD-43-19.875x105.875|60CA
1022775|SMP, FAN LOC1 APD PART5|9XA
1022782|SMP, FAN LOC1 RAIL2|9XA
2001601-MV|VCD-42-57.875x35.875|60CA
2002584-MV|27-APM-4-100-II-150|50BG
2003933-MV|EM-30-21.1X21.1|60BA
2011614-MV|VCD-23-82.688x51.875|60CA
2003601-MV|CW58S06O12-57X80-RHN|41AA
2010610-MV|24-APH-4-100-III-250|50CB
2010611-MV|EM-30-32.3X32.3|60BA
2004808-MV|DX38S06S12-27X22-RHN|41AA
OT_ROH_MTL_EST|OTHER RAW MATERIAL ESTIMATION|9XA
PNT_CT_MTL_EST|PAINT AND COATING MATERIAL ESTIMATIION|9XA
2002159-MV|AMD-42-29.75x9.75|60CA
2002160-MV|VCD-42-20.75x63.75|60CA
2006973-MV|VCD-23-40.875x45.875|60CA
ESK-602RM|"6"" STATIONARY RECESSED MULLION"|61BA
2011593-MV|VCD-23-17x43.875|60CA
2011597-MV|20-APM-4-100-II-100|50BG
2008720-MV|VCD-33-30.75x22.75|60CA
2005991-MV|24-APM-4-100-II-150|50BG
2005957-MV|USF-13-4-B1-00-01-01|50BD
2004766-MV|EM-30-41.625X56.625|60BA
1022772|SMP, FAN LOC1 APD PART2|9XA
2004760-MV|18-APM-4-100-I-30|50BG
2015846-MV|VCD-23-31.75x37.75|60CA
2003953-MV|EM-30-26X26|60BA
2015498-MV|VCD-23-124x56.875|60CA
2015489-MV|24-APH-4-85-II-200|50CB
2004456-MV|VCD-23-48.875x22.813|60CA
2004459-MV|VCD-23-43.875x16.875|60CA
2004763-MV|VCD-43-31.875x36.438|60CA
2004767-MV|30-APM-4-100-II-150|50BG
2014988-MV|24-APM-4-100-II-200|50BG
2014481-MV|VCD-23-15.875x128.875|60CA
2014465-MV|EM-30-33.02X33.02|60BA
2014479-MV|22-APH-4-50-I-100|50CB
2008152-MV|VCD-43-39.75x39.75|60CA
2008711-MV|AMD-42-59.75x10.75|60CA
2008716-MV|22-APH-4-100-II-100|50CB
2001784-MV|VCD-33-26.875x36.875|60CA
2003941-MV|EM-30-26X26|60BA
2014487-MV|VCD-23-35.875x58.875|60CA
2014464-MV|VCD-23-56.875x71.875|60CA
2001584-MV|18-APM-4-100-I-50|50BG
2001570-MV|VCD-23-29.688x29.688|60CA
2001555-MV|VCD-42-41.875x29.875|60CA
2003943-MV|20-APH-4-100-II-150|50CA
2006268-MV|AMD-23-46x17|60CA
2007335-MV|24-APM-4-100-II-100|50BG
2007336-MV|AMD-33-29.75x73.75|60CA
2007337-MV|VCD-42-49.875x24.125|60CA
2007349-MV|VCD-42-44.875x16.875|60CA
2007350-MV|VCD-42-44.875x60|60CA
2007351-MV|VCD-42-9.75x73.75|60CA
2007352-MV|VCD-42-34.75x22.75|60CA
2007360-MV|VCD-42-40.875x17.875|60CA
2007893-MV|VCD-23-24.875x117.875|60CA
2006748-MV|24-APM-4-100-II-150|50BG
MP22101|FILTER,CARTRIDGE 40MICRO UNITS|NP139
2015016-MV|VCD-23-30.875x22.875|60CA
MP22113|PIN,LIFTING|NP139
2015615-MV|SD100S01F12-39X20.688-RHN|41AA
2015497-MV|VCD-23-21.813x56.875|60CA
60-D-3000|HEAT EXCH,60-D-3000|40AB
60-D-450|HEAT EXCH,60-D-450|40AB
60-D-600|HEAT EXCH,60-D-600|40AB
60-D-750|HEAT EXCH,60-D-750|40AB
2015462-MV|24-APH-4-95-II-200|50CB
2015506-MV|VCD-23-35.75x9.75|60CA
2002967-MV|VCD-42-17.75x94.75|60CA
2001818-MV|VCD-43-15.875x60.875|60CA
2001933-MV|EM-30-11.469X14.75|60BA
2011770-MV|VCD-23-16.875x49.875|60CA
2001370-MV|20-APH-4-100-I-30|50CA
2001697-MV|AMD-23-131.75x32.75|60CA
2015007-MV|VCD-23-12.875x51.875|60CA
2015008-MV|VCD-23-10.75x74.75|60CA
2015009-MV|AMD-23-8.75x49.75|60CA
2001890-MV|VCD-43-36.875x36.438|60CA
2015706-MV|24-APM-4-100-II-150|50BG
2015512-MV|VCD-43-137.875x39.875|60CA
2015556-MV|VCD-43-11.875x58.875|60CA
2015548-MV|VCD-23-10.875x62.5|60CA
2001840-MV|VCD-43-27.25x48.25|60CA
2014525-MV|VCD-43-64.938x46.875|60CA
2015540-MV|VCD-43-53.188x45.875|60CA
2001438-MV|24-APM-4-100-II-150|50BG
2006376-MV|AMD-42-TD-29.75x7.75|60CA
2015373-MV|EM-30-15.375X45.625|60BA
2015546-MV|VCD-43-47.875x23.875|60CA
2015547-MV|VCD-43-80.75x11.75|60CA
2015549-MV|VCD-23-58.875x26.875|60CA
2005981-MV|VCD-23-59.875x8.875|60CA
304646|MTR,284TS,BA,EM4107T|9XA
380189|CONN,.5,STR,EMT,EGS-7050S|9XA
2011750-MV|18-APH-4-85-III-150|50CB
2011741-MV|EM-30-17.625X57.625|60BA
2015541-MV|VCD-43-22.688x37.4|60CA
1016860|SNSR,TEMP/HUM,2%,MAMAC,HU-226-2-VDC-8|9XA
2006350-MV|EM-30-21.75X21.75|60BA
2001787-MV|16-APM-4-80-I-50|50BG
1017045|3D PRINTED SHELF CAP,BLACK,FR ABS|9XA
2001783-MV|6IN EXTRUDED ALUMINUM LOUVER|61BA
1017053|ENCL,72X72X12,NEMA3R,12,13,SCE-727212ULP|9XA
1016948|NIP,NOTCHED,1.25 OD,305SS|9XA
2001760-MV|VCD-23-10.875x42.875|60CA
2001755-MV|VCD-23-35.875x24.875|60CA
2001651-MV|VCD-23-49.875x24.875|60CA
2001616-MV|VCD-23-18.5x20.75|60CA
2001611-MV|VCD-42-20.875x6|60CA
2001606-MV|VCD-42-22.75x75.75|60CA
2001953-MV|VCD-23-12.875x33.875|60CA
2001957-MV|VCD-23-10.875x40.875|60CA
2015274-MV|VCD-43-12.688x36.875|60CA
2015200-MV|22-APM-4-90-II-100|50BG
1016954|IOM,FRESH TIME UNITS|9XA
2015426-MV|VCD-23-69.875x55.875|60CA
MP23111|DIE,MT 8MM RD.172 .018TC,SF|NP139
2001681-MV|EM-30-16.505X22.915|60BA
2015555-MV|15-APM-4-65-II-75|50BG
2015461-MV|24-APH-4-95-II-200|50CB
2015613-MV|27-APH-4-100-III-300|50CB
2015501-MV|24-APH-4-85-II-200|50CB
2015460-MV|SMD-201-136.75X18.75|60DA
2001510-MV|VCD-23-91.75x12.75|60CA
2001790-MV|VCD-23-65.875x45.875|60CA
2001793-MV|VCD-23-31.063x46.875|60CA
MP22643|HOOK PLUNGER,LOCKABLE SAFETY BUTTON|NP139
MP22649|UNIT,TRANSFER,BALL,22MM|NP139
2015199-MV|EM-30-29.375X86.625|60BA
2014965-MV|EM-30-49.375X54.625|60BA
2011760-MV|ICD-45-44.875x38.875|60BG
2015464-MV|36-APH-4-100-II-250|50CB
2015465-MV|36-APH-4-100-II-250|50CB
1011358|HT EX,EXC-787-660-280-FE-O|9XA
1032507|SMP, BASE E DRAINPAN10 PART6|9XA
2015919-MV|20-APM-4-75-I-30|50BG
2005243-MV|20-APH-4-75-II-100|50CA
1032492|SMP, BASE E DRAINPAN5 PART6|9XA
1033034|SMP,VERT STAND, BASE LEFT|9XA
1011642|ADPTR,FTGXMNPT,0.75,CPR|9XA
1011355|VLV,HD PRES,11X7,ODF,LS,LAC-10-295|9XA
1011644|BSHG,FNPTXMNPT,0.75X2,BLK MI,HEX|9XA
1011653|ELBOW,STRT,FNPTXMNPT,1.25,90DEG,BLK MI|9XA
1011658|KIT,2.5-3IN,150# PLTD FLG BOLT/NUT|9XA
1011668|NIP,MNPT,0.5X3,STL,DIELEC|9XA
1011667|NIP,MNPT,1.25X4,STL,DIELEC|9XA
1011670|PLUG,BLK,1.25IN,SQ HD|9XA
1011356|NIP,MNPT,1X3,GALV,SCH40|9XA
2012934-MV|VCD-43-9.875x42.875|60CA
2012941-MV|VCD-43-39x16.875|60CA
1011946|CNDNSRFN,ZA,FN063,ECBLUE,154970,1.85KW|9XA
1011945|CNDNSRFN,ZA,FN063,ECBLUE, 180853,3.7KW|9XA
1032403|SMP, BASE C DRAINPAN8 PART4|9XA
2010816-MV|24-APM-4-100-II-200|50BG
2011000-MV|20-APH-4-70-I-50|50CB
2011005-MV|VCD-43-25x44.875|60CA
2005287-MV|18-APM-4-85-I-50|50BG
MP24185|UNIT,LUBRICATING,36MM X 25MM|NP139
2016286-MV|EM-30-20.375X40.625|60BA
1011240|MEDIA,D15F8NEST,12X72,MIST ELMNTR|9XA
2013448-MV|VCD-23-59.063x54.875|60CA
2013460-MV|VCD-43-65.875x116.875|60CA
465455|ELBOW,CXC,1.125OD,90DEG,CPR,LRAD|9XA
470428|CPLG,RDUCR,FTGXC,1.625ODX1.375OD,CPR|9XA
2010999-MV|VCD-43-106.313x54.875|60CA
1011621|VLV,B232+AFRB24-S+NO/FO,BELIMO,2PS,1.25|9XA
2010539-MV|VCD-43-39.875x18.188|60CA
BH24-D-3300|HEAT EXCH,BH24-D-3300|40AC
2011529-MV|VCD-43-43.875x15.875|60CA
313587|MTR,182T,BA,EM3211T-5G|9XA
1006583|CLAMP,HOSE,2.5,1.5,SS,62016|9XA
1006635|VLV,BALL,1.5,VV01478YBFF|9XA
827283|PVF150 4:1 MOD KIT|9XA
